Team,W,L,Pct,Home,Away,L10
"Atlanta Hawks",17,18,0.486,11-7,6-11,4-6
"Boston Celtics",26,10,0.722,15-5,11-5,5-5
"Brooklyn Nets",23,12,0.657,12-5,11-7,10-0
"Charlotte Hornets",10,26,0.278,5-11,5-15,3-7
"Chicago Bulls",16,19,0.457,9-8,7-11,5-5
"Cleveland Cavaliers",22,14,0.611,16-4,6-10,6-4
"Dallas Mavericks",20,16,0.556,15-5,5-11,7-3
"Denver Nuggets",23,12,0.657,13-3,10-9,8-2
"Detroit Pistons",9,29,0.237,5-13,4-16,2-8
"Golden State Warriors",19,18,0.514,16-2,3-16,5-5
"Houston Rockets",10,25,0.286,6-10,4-15,3-7
"Indiana Pacers",19,17,0.528,11-7,8-10,5-5
"LA Clippers",21,16,0.568,11-7,10-9,7-3
"Los Angeles Lakers",14,21,0.400,8-8,6-13,4-6
"Memphis Grizzlies",21,13,0.618,13-3,8-10,6-4
"Miami Heat",18,18,0.500,11-8,7-10,6-4
"Milwaukee Bucks",23,12,0.657,15-3,8-9,4-6
"Minnesota Timberwolves",16,20,0.444,9-8,7-12,3-7
"New Orleans Pelicans",23,12,0.657,16-4,7-8,6-4
"New York Knicks",18,18,0.500,8-10,10-8,5-5
"Oklahoma City Thunder",15,20,0.429,10-8,5-12,4-6
"Orlando Magic",13,24,0.351,9-11,4-13,6-4
"Philadelphia 76ers",20,14,0.588,14-5,6-9,8-2
"Phoenix Suns",20,17,0.541,14-5,6-12,4-6
"Portland Trail Blazers",18,17,0.514,8-6,10-11,5-5
"Sacramento Kings",19,15,0.559,11-7,8-8,5-5
"San Antonio Spurs",12,23,0.343,7-12,5-11,5-5
"Toronto Raptors",16,20,0.444,11-8,5-12,3-7
"Utah Jazz",19,19,0.500,12-5,7-14,4-6
"Washington Wizards",16,21,0.432,10-7,6-14,5-5
